gene_id,A1BG|1,A1CF|29974,A2BP1|54715,A2LD1|87769,A2ML1|144568,A2M|2,A4GALT|53947,A4GNT|51146,AAA1|404744,AAAS|8086,AACSL|729522,AACS|65985,AADAC|13,AADAT|51166,AAGAB|79719,AAK1|22848,AAMP|14,AANAT|15,AARS2|57505,AARSD1|80755,AARS|16,AASDHPPT|60496,AASDH|132949,AASS|10157,AATF|26574,AATK|9625,ABAT|18,ABCA10|10349,ABCA11P|79963,ABCA12|26154,ABCA13|154664,ABCA17P|650655,ABCA1|19,ABCA2|20,ABCA3|21,ABCA4|24,ABCA5|23461,ABCA6|23460,ABCA7|10347,ABCA8|10351,ABCA9|10350,ABCB10|23456,ABCB11|8647,ABCB1|5243,ABCB4|5244,ABCB5|340273
TCGA-DC-6154-01A-31R-1928-07,94.15,595,4,256.15,0,11208.98,447,0,10,2149,5,1848,82,325,2091,1975,9943,0,1325.98,1982,12681,2636,451,387,6426,176,2701,10,287.21,0,32,1,882,2817,166,23,837,27,655,12,46,1106,2,1205,26,0
TCGA-EI-6507-01A-11R-1736-07,144.96,148,0,284.93,0,9776.95,1502,1,13,2359,31,2881,6,472,2914,1311,5353,1,1747.85,849,12808,2247,540,563,2293,1020,792,23,308.97,15,285,59,1567.9,8193,3489,24,823,14,1205,12,19,1329,11,2077,38,0
TCGA-EI-6882-01A-11R-1928-07,18,177,6,514.51,0,8298,85,0,6,1312,0,1755,1,616,2978,1262,3680,0,930.96,682,3917,1429,243,278,1913,34,448,13,73.45,59,38,4,474,2605,926,44,712,8,615,53,4,2114,7,1700,30,0
TCGA-AF-3911-01A-01R-1736-07,84,480,7,555.46,3,14608.87,570,0,4,2617,0,2943,1,195,3442,1065,10403,1,1357.92,1370,10274,2161,574,178,4466,1072,1211,12,288.66,1,12,5,637.9,4056,141,6,708,20,708,79,14,2128,0,337,42,2
TCGA-AG-3592-01A-02R-1736-07,61.87,639,159,451.29,0,16862.88,493,0,0,2862,0,2383,15,310,5645,5780,9432,2,1996.91,1728,12869,2880,661,234,5603,128,2766,24,216.31,11,770,4,704,3064,326,3,540,28,728,58,12,2169,1,675,43,0
TCGA-AG-3731-01A-11R-1736-07,61.79,347,16,370.59,22,42990.79,1024,1,1,2277,2,2180,10,1226,4120,3371,7251,0,1632.97,1275,8899,2599,1017,294,4565,281,428,6,113.12,23,21,7,1986.95,3865,5216,10,346,160,1126,238,50,1864,2,4070,133,16
TCGA-AH-6549-01A-11R-1830-07,39,381,0,148.31,1,33215.93,460,0,3,3971,2,4772,44,595,3166,1975,9746,2,2617.97,2181,13367,3785,924,196,8185,262.07,308,19,459.96,0,84,2,483.97,3176,239,9,881,29,646,150,9,1447,3,9574,193,0
TCGA-AH-6644-01A-21R-1830-07,32,464,167,509.37,0,18567.92,889,1,1,1501,0,804,60,326,2797,5576,4997,0,1092.92,1186,4932,1146,514,192,3882,165,669,28,201.37,0,7,2,1904.94,1738,132,8,137,88,204,80,51,1838,0,5170,265,16
TCGA-AH-6897-01A-11R-1928-07,9,154,0,279.52,0,5459.98,136,0,2,2162,0,2916,0,328,2822,550,7246,3,1095.87,2002,8422,1290.96,359,46,6015,82,292,2,92.04,2,22,0,147,2541,18,9,236,1,265,0,6,941,3,1686,30,0
TCGA-DY-A1DD-01A-21R-A155-07,24,283,1,440.86,3,7475.98,377,0,0,1673,0,1478,11,125,909,850,6052,1,1116.99,1639,7643,1477,315,748,3979,584,1455,24,381,2,122,5,1530,2191,387,6,1006,6,463,34,15,819,0,2183,85,0
TCGA-DY-A1DF-01A-11R-A155-07,57.81,206,0,256.17,0,7801.91,479,1,1,1096,0,841,5,17,745,492,5910,1,613.94,1155,2810,662,191,1826,1563,546,1021,68,277.8,1,64,59,1037,9373,1188,0,1252,6,1160,10,5,631,0,1650,40,2
TCGA-EI-6510-01A-11R-1736-07,35.98,381,12,524.11,0,5257.96,68,0,1,2556,0,3106,6,216,2750,751,6349,1,1170.85,1961,8858,1495,772,224,3538,855,1126,12,222.74,182,69,1,1233,4832,95,16,480,4,964,26,3,1216,0,416,69,0
TCGA-EI-7002-01A-11R-1928-07,53.66,511,0,469.4,5,17005.95,328,0,0,3115,1,3335,42,261,2811,8152,9518,0,1429.9,1406,7252,1866,583,753,6985,2131,3648,31,95.65,1,52,8,1343,6876,333,6,1073,57,2057,25,25,2654,2,2639,134,2
TCGA-F5-6571-01A-12R-1830-07,60,243,26,297.43,0,29863.89,590,3,0,1501,0,1582,5,55,1790,1792,5941,4,1090.88,1043,8687,1841,521,687,4589,1383.61,3032,87,238.38,1,24,3,2114.87,3712,267,5,2116,208,1157,213,160,1604,1,2460,125,8
TCGA-F5-6811-01A-11R-1830-07,16.92,255,3,377.46,8,18886.81,471,1,5,1417,0,1795,2,113,2441,1387,6145,0,797.95,1578,4619,1927,431,524,4555,608,1025,14,139.76,1,107,0,1956,2116,389,5,993,34,509,26,16,1251,18,1006,112,4
TCGA-F5-6863-01A-11R-1928-07,60.7,425,16,181.97,0,15606.84,490,0,0,2213,0,2002,15,204,3084,1226,12041,0,1528.98,1152,17918,1684,304,327,2666,709.26,4388,16,500.5,0,33,16,884,5832,988,0,424,8,499,24,11,1272,0,6853,419,1
TCGA-F5-6864-01A-11R-1928-07,88.13,433,1,228.32,3,35363.88,800,0,11,1831,0,2815,3,147,1733,1130,8392,3,1624.83,2237,8420,1691,515,679,4741,518,1351,27,410.96,0,66,4,3586.94,5905,379,5,1042,124,1347,199,108,1451,9,794,77,0
TCGA-G5-6233-01A-11R-1736-07,37,443,2,339.62,1,12905.89,223,0,0,2486,0,1435,7,168,3362,1115,6818,2,1265.89,1315,5050,1072,404,120,3068,287,504,54,254.71,15,29,13,403,1662,840,4,1416,19,751,33,14,1180,5,3581,193,4